Species,Species2,Population,Sgen1,Smsy,S_25,S_75,S_avg_year,S_avg,historic_avg,prod_year,mean_prod,prod_LCI,status_prod,status_SR,status_spawn,prod_trend_old,prod_trend
CM,CM,AHTA RIVER,1192.777256,3247.531626,659,9260,2017,544.2569352,2207.780577,2012,0.425378199,-0.638686294,amber,red,red,red,red
CM,CM,GLENDALE CREEK,2441.386061,4841.373612,487.5,7500,2010,28,1894.378458,1994,0.371604487,-1.202807702,DD,DD,red,DD,DD
CM,CM,KAKWEIKEN RIVER,2252.16552,2653.321424,379,3500,2012,96.34801753,1326.834573,2007,0.359427632,-1.011313872,amber,red,red,amber,amber
CM,CM,KINGCOME RIVER,2799.409048,5229.445697,855.25,15000,2014,875.6656946,3082.652764,2009,0.444649327,-0.714365343,amber,red,amber,amber,red
CM,CM,MACKENZIE RIVER,934.08443,1499.430062,477.5,3500,2010,29.94317207,1032.812419,2005,-0.444590032,-1.847519142,DD,DD,DD,DD,DD
CM,CM,NIMMO CREEK,575.7762754,1047.985635,318.75,3500,2008,24,942.2268652,1984,0.540152884,-0.532050409,DD,DD,red,DD,DD
CM,CM,NIMPKISH RIVER,10499.01425,17495.14125,13000,56250,2016,49.35585072,18808.82662,2001,0.782860407,-0.230536701,DD,DD,red,DD,DD
CM,CM,QUATSE RIVER,98.67641211,99.58627276,200,1500,2013,374.4755676,562.5891726,2008,-0.063272914,-1.211931726,red,green,amber,red,amber
CM,CM,SHOAL HARBOUR CREEK,618.3067036,945.7768343,76,1700,2017,119.2503117,348.6421038,2012,0.848420152,-0.314431274,amber,red,amber,amber,amber
CM,CM,VINER SOUND CREEK,2835.399335,9926.338418,1600,35000,2017,4777.767845,7466.250896,2012,1.597143454,0.267907349,green,amber,amber,amber,amber
CM,CM,WAKEMAN RIVER,816.273053,1994.32052,400,3500,2014,2105.550141,1446.509302,2009,1.059409998,-0.125063018,amber,green,amber,amber,amber
CM,CM,ADAM RIVER,,,20,1500,2017,7.93700526,169.1069622,,,,,,red,,
CM,CM,AHTA VALLEY CREEK,,,200,975,1993,10,498.1357181,,,,,,DD,,
CM,CM,CALL CREEK,,,118.75,812.5,2016,6.633249581,243.4292493,,,,,,red,,
CM,CM,CLUXEWE RIVER,,,67.5,1500,2001,40.71626425,263.7132372,,,,,,DD,,
CM,CM,EMBLEY CREEK,,,30.25,1500,2017,49.31050871,111.754203,,,,,,amber,,
CM,CM,FRANKLIN RIVER,,,400,1500,1977,393.5979343,801.2722763,,,,,,DD,,
CM,CM,FULMORE RIVER,,,750,2166.5,2017,348.3186736,1165.51975,,,,,,red,,
CM,CM,GILFORD CREEK,,,25,300,2013,2.828427125,71.65727471,,,,,,red,,
CM,CM,HAUSKIN CREEK,,,100,300,1989,50,156.4932428,,,,,,DD,,
CM,CM,HOEYA SOUND CREEK,,,75,612.5,1998,65.4213262,181.9653569,,,,,,DD,,
CM,CM,HYDE CREEK,,,25,200,1996,25,59.73022772,,,,,,DD,,
CM,CM,KEOGH RIVER,,,175,3500,2009,53,531.1673058,,,,,,red,,
